T_mu,σ,ω₀,n_B,P,ϵ
"(16.134453781512605, 460.1118481127528)",92.99999999999402,0.0,8.192286800343e-15,8.067899993271618e-12,-4.298531773296092e-12
"(17.142857142857142, 460.1118481127528)",92.99999999999402,0.0,5.152429999983276e-14,8.812629223419768e-12,1.489431167221919e-11
"(18.15126050420168, 460.1118481127528)",92.9999997006689,2.337868829911083e-11,2.6552751417978305e-13,1.2784518450876565e-11,1.0938783682316858e-10
"(19.159663865546218, 460.1118481127528)",92.99999999999402,0.0,1.1567627553024812e-12,3.016153382100005e-11,5.020787153492245e-10
"(20.16806722689076, 460.1118481127528)",92.99999999999402,0.0,4.367827026115404e-12,9.607007068911128e-11,1.913618894533676e-9
"(21.176470588235297, 460.1118481127528)",92.99999990894186,1.2843254635832512e-9,1.4586946970129862e-11,3.129103982005808e-10,6.3987167305485904e-9
"(22.18487394957983, 460.1118481127528)",92.99999998862437,3.857024375911791e-9,4.380681448031111e-11,9.758435345707918e-10,1.9180190835897652e-8
"(23.19327731092437, 460.1118481127528)",92.99999988163738,1.0559962390105682e-8,1.1993658498280965e-10,2.7896315745966098e-9,5.239461219817617e-8
"(24.201680672268907, 460.1118481127528)",93.0,0.0,3.028039049771059e-10,7.328383867734506e-9,1.319952804670401e-7
"(25.210084033613445, 460.1118481127528)",92.99999981592845,6.266982701028796e-8,7.117832862288425e-10,1.7948098568108758e-8,3.095518247144125e-7
"(26.218487394957982, 460.1118481127528)",93.0,0.0,1.5705374706354591e-9,4.117707210719804e-8,6.814458260372114e-7
"(27.22689075630252, 460.1118481127528)",92.9999991556442,2.883968977017627e-7,3.275517124859677e-9,8.919013793946432e-8,1.4179140999046922e-6
"(28.235294117647058, 460.1118481127528)",92.99999832815611,5.719282464531106e-7,6.495772944768128e-9,1.834179967562658e-7,2.8053640977818156e-6
"(29.243697478991596, 460.1118481127528)",92.99999683610046,1.0840408349338737e-6,1.2312179316650197e-8,3.60053620292034e-7,5.304925959387498e-6
"(30.252100840336134, 460.1118481127528)",92.99999425168082,1.9726078089034364e-6,2.2404230801999793e-8,6.777830372193651e-7,9.630669002633421e-6
"(31.260504201680675, 460.1118481127528)",92.99998993438629,3.4595246787189425e-6,3.9292143637168856e-8,1.228296193260254e-6,1.685048463194925e-5
"(32.26890756302521, 460.1118481127528)",92.99998295488523,5.867493268095939e-6,6.664105901553626e-8,2.1504382960173695e-6,2.851190252781205e-5
"(33.27731092436975, 460.1118481127528)",92.99997191506442,9.652751418710013e-6,1.0963277836332602e-7,3.648280421500523e-6,4.679505984498523e-5
"(34.285714285714285, 460.1118481127528)",92.9999552742127,1.5444075339463533e-5,1.7540872892581447e-7,6.014002560938353e-6,7.469363188022703e-5
"(35.294117647058826, 460.1118481127528)",92.99993026212174,2.4088210559417247e-5,2.7358597865539997e-7,9.655934165751862e-6,0.00011622421609112037
"(36.30252100840336, 460.1118481127528)",92.99989395520187,3.6701705969511115e-5,4.1684591354435126e-7,1.5132459062850762e-5,0.00017666328459628946
"(37.3109243697479, 460.1118481127528)",92.99984224319209,5.4728946993347924e-5,6.215933823513341e-7,2.3191995870989357e-5,0.00026281048405733993
"(38.319327731092436, 460.1118481127528)",92.99976965300942,8.000601417928796e-5,9.0868201168484e-7,3.4819585654852305e-5,0.00038327577408827344
"(39.32773109243698, 460.1118481127528)",92.99967001731473,0.00011482983916823252,1.3041995526122934e-6,5.1290185865857866e-5,0.0005487874805944098
"(40.33613445378152, 460.1118481127528)",92.99953511726224,0.0001620320114169231,1.840306301491075e-6,7.422881355769083e-5,0.0007725179199149125
"(41.34453781512605, 460.1118481127528)",92.99935525476823,0.0002250564784597513,2.556117479926497e-6,0.00010567758417389891,0.001070422353508394
"(42.352941176470594, 460.1118481127528)",92.9991189700152,0.0003080403110601719,3.4986205540498446e-6,0.00014816956944868498,0.0014615871995204523
"(43.36134453781513, 460.1118481127528)",92.9988123596626,0.00041589669917133846,4.7236179416728946e-6,0.00020480917404677235,0.0019685834068749004
"(44.36974789915966, 460.1118481127528)",92.99841926716664,0.000554399259028046,6.296684533172442e-6,0.0002793588469942233,0.0026178203105467353
"(45.3781512605042, 460.1118481127528)",92.99792097504259,0.0007302668325784652,8.294130791394654e-6,0.0003763317886760462,0.003439896058241437
